,Code,Description,Count
548,ACCBPH,"Accentia BioPharmaceuticals, Inc.",263.0
549,ACCCHN,Access Community Health Network,3.0
550,ACCCOL,Cinedigm Corp.,215.0
551,ACCCRP,AccessData Group LLC,2.0
552,ACCDHS,"Accordant Health Services, Inc.",15.0
553,ACCDII,Acc Distributors Inc.,2.0
554,ACCDIR,WeedHire International Incorporated,39.0
555,ACCDPH,Accudial Pharmaceutical Inc.,13.0
556,ACCDSL,Access Diabetic Supply LLC,2.0
557,ACCEBI,Access Bio Inc.,23.0
558,ACCECO,Deloitte Access Economics,3.0
559,ACCEIC,Accenture Inc,22.0
560,ACCEIP,Accenture India Private Limited,2.0
561,ACCEJL,Accenture Japan Ltd.,10.0
562,ACCELL,Accelrys Ltd,14.0
563,ACCELO,Accelerator Life Science Partners,300.0
564,ACCEPA,Accent Equity Partners AB,2.0
565,ACCESI,Accessus Inc,3.0
566,ACCETQ,Acasta Enterprises Inc,2.0
567,ACCGEL,Access Genetics LLC,1.0
568,ACCHB,Simple Health & Beauty Limited,6.0
569,ACCIBI,Accium Biosciences Inc,6.0
570,ACCIFZ,Acorn Capital Investment Fund Ltd.,1.0
571,ACCILI,Accucaps Industries Limited,37.0
572,ACCINU,AccentCare Inc,23.0
573,ACCKKR,Accel-KKR LLC,86.0
574,ACCL,Accel Partners,283.0
575,ACCLHC,Accellent Holdings Corp,129.0
576,ACCLIO,Accellion Incorporated,3.0
577,ACCLIV,Acclivity LLC,3.0
578,ACCLLP,Accenture Llp,15.0
579,ACCLPI,Acceleron Pharma Inc.,5742.0
580,ACCLR,Accelera Solutions Inc,2.0
581,ACCLTR,Acceletronics Inc.,9.0
582,ACCLVN,"Linical Accelovance America, Inc",142.0
583,ACCM,"Teligent Inc (Alexandria,VA)",493.0
584,ACCMKT,"ACCENT Marketing Services, LLC",1.0
585,ACCMTI,AccuMed Technologies Inc,1.0
586,ACCNAI,Accor North America Inc,1.0
587,ACCNES,Acciona Energia S.A.,2.0
588,ACCOBI,ACCO Brands Inc,4.0
589,ACCOK,Accu Holding AG,3.0
590,ACCOM,ACOM Solutions Inc,2.0
591,ACCOSF,Edenred SA,12.0
592,ACCOURR,Dave Thomas Foundation For Adoption,6.0
593,ACCOUZ,"Accera, Inc.",105.0
594,ACCPHY,American College of Chest Physicians,206.0
595,ACCPHZ,"Accelerated Pharma, Inc.",59.0
596,ACCPSP,Clever Communications Australia Ltd,2.0
597,ACCRAA,Epiroc AB,2.0
598,ACCRAY,Accuray Inc,4730.0
599,ACCRDO,Accredo Health Inc,18.0
600,ACCRNT,"Accruent, LLC",10.0
601,ACCRNV,Access/Renova Group,4.0
602,ACCRPL,Accrol Group Holdings PLC,4.0
603,ACCSC,Cameleon Software,14.0
604,ACCSGL,Firstsource Advantage LLC,2.0
605,ACCTHI,Accredo Health Group Inc,151.0
606,ACCTOT,Accton Technology Corporation,1.0
607,ACCTST,Accutest Laboratories Corp,5.0
608,ACCTV,Arvedi Group,1.0
609,ACCTVH,R1 RCM Inc.,358.0
610,ACCTXI,Liftfund Inc.,2.0
611,ACCULA,Accugenix Inc.,3.0
612,ACCUPA,"Accupac, Inc.",20.0
613,ACCURD,Accuride Corporation,244.0
614,ACCUS,ACCU-SORT Systems inc,8.0
615,ACCUSC,mDR Limited,1.0
616,ACCUTO,Accutome Inc.,107.0
617,ACCUVI,Accuvant Inc,24.0
618,ACCVN,Accovion GmbH,8.0
619,ACCW,AccuWeather Inc,69.0
620,ACCWLD,ACCO Brands Corp,423.0
621,ACCZZZ,Khiron Life Sciences Corp,20.0
622,ACDCAN,ANGUS Chemical Company,39.0
623,ACDHLC,Acadia Healthcare Company Inc.,1155.0
624,ACDIA,Wells Fargo Insurance Services Inc,2.0
625,ACDMXD,Academixdirect Inc.,2.0
626,ACDMXR,New Pacific Metals Corp,2.0
627,ACDRI,Evolucia Inc,2.0
628,ACDRTU,Academy of Art University,8.0
629,ACDTIM,Acadian Timber Corp.,16.0
630,ACDYM,The Academy of Management,14.0
631,ACDYTH,AcademyHealth,15.0
632,ACEABI,ACEA Biosciences Inc,130.0
633,ACEAIT,Acea SpA,10.0
634,ACEAVT,ACE Aviation Holdings Inc,3.0
635,ACEBA,ACE Biosciences A/S,12.0
636,ACEC,Umicore SA,255.0
637,ACECMM,Ventraq Inc.,4.0
638,ACECON,Ace Controls,9.0
639,ACECSH,"ACE Cash Express, Inc.",4.0
640,ACECTL,Aceco TI S/A.,1.0
641,ACEDIS,AU Optronics Corporation,332.0
642,ACEDIY,Ace Hardware Corp.,112.0
643,ACEENI,Ace Engineering Inc.,1.0
644,ACEGAI,Advent Claymore Enhanced Growth & Income Fund,7.0
645,ACEGLS,Ace Glass Incorporated,8.0
646,ACEGT,ACE Guaranty Corporation,1.0
647,ACEHCE,NJR Energy Services Company,1.0
648,ACEHIN,"Atlantic Coast Entertainment Holdings, Inc.",9.0
649,ACEINA,ACE INA Holdings Inc,22.0
650,ACEISI,Ace Info Solutions Inc,2.0
651,ACELCP,Gaming Nation Inc.,13.0
652,ACELL,Tamir Biotechnology Inc.,206.0
653,ACELPI,AcelRx Pharmaceuticals Inc.,5608.0
654,ACELTD,Chubb Limited,1201.0
655,ACEMKT,Mobiquity Technologies Inc.,5.0
656,ACEMYC,American Chemistry Council,146.0
657,ACENKR,Alcentra Capital Corp,116.0
658,ACEQCI,Allentown Inc.,2.0
659,ACERA,Alameda County Employees Retirement Association,2.0
660,ACERST,The American Ceramic Society,5.0
661,ACERUS,Acer America Corporation,30.0
662,ACET,ACETO Corp,1379.0
663,ACETYP,Acetylon Pharmaceuticals Inc,482.0
664,ACEUI,ACE USA Inc,6.0
665,ACFAM,Administration for Children and Families,43.0
666,ACFBNY,Association for a Better New York,2.0
667,ACFGB,ACF Industries Inc,3.0
668,ACFHCI,The Accreditation Commission For Health Care Inc,10.0
669,ACFICA,Accrediting Council For Independent Colleges And Schools,9.0
670,ACFID,Amira Nature Foods Ltd,313.0
671,ACFOAS,American College of Foot and Ankle Surgeons,82.0
672,ACFOCI,ACH Food Companies Inc,8.0
673,ACFOUN,AmeriCares Foundation,254.0
674,ACFOWA,ACWA Holding LLC,2.0
675,ACFTU,All-China Federation of Trade Unions,1.0
676,ACFTWI,American Committee For The Weizmann Institute Of Science Inc.,17.0
677,ACGAST,American College of Gastroenterology,873.0
678,ACGBOC,AIDA Cruises - German Branch of Costa Crociere SpA,2.0
679,ACGCNA,"Air Conditioning Contractors of America Association, Inc.",2.0
680,ACGCSI,Advent Claymore Convertible Securities and Income Fund II,3.0
681,ACGED,Academy of General Dentistry,162.0
682,ACGPHP,ACG Pharmapack Private Limited,2.0
683,ACGSYI,"ACG Systems, Inc.",3.0
684,ACHAOG,"Achaogen, Inc.",5021.0
685,ACHBRF,Accounts Chamber of the Russian Federation,1.0
686,ACHEBR,Ache Laboratorios Farmaceuticos SA,101.0
687,ACHFXWB,Home Health Depot Inc.,6.0
688,ACHI,Achilles Corp,2.0
689,ACHICE,Achievement Center Inc.,7.0
690,ACHILA,Arizonas Children Association,2.0
691,ACHLON,Achillion Pharmaceuticals Inc,4511.0
692,ACHN,Groupe Auchan SA,10.0
693,ACHRE,Canada House Wellness Group Inc.,27.0
694,ACHRIU,"Air-Conditioning, Heating, and Refrigeration Institute",2.0
695,ACHRSC,Achronix Semiconductor Corporation,5.0
696,ACHSZZ,Transatlantic Mining Corp.,1.0
697,ACIFN,Mexus Gold US,3.0
698,ACIIHNL,Rancho Santa Fe Foundation,1.0
699,ACIINT,ACI International,2.0
700,ACILTD,ACI Limited,4.0
701,ACIMER,Association of American Railroads,61.0
702,ACIMSI,ACIST Medical Systems Inc,168.0
703,ACINDL,Abbott Capital India Ltd,15.0
704,ACINFD,Acorn Income Fund Ld,1.0
705,ACIPSS,AtralCipan SGPS S.A.,1.0
706,ACIRL,ACIRL Proprietary Limited,1.0
707,ACJAP,Acom Co. Ltd.,2.0
708,ACJASI,Ariel University,5.0
709,ACJE,Marcventures Holdings Incorporated,1.0
710,ACJKEL,Amir Chand Jagdish Kumar (Exports) Ltd,1.0
711,ACK,Morguard Corp,12.0
712,ACKAEM,Drakes Bay Oyster Company,1.0
713,ACKCAR,Netcall PLC,2.0
714,ACKERM,Ackermann PR,2.0
715,ACKR,AR Packaging Group AB,8.0
716,ACKTBO,Acknit Industries Ltd,2.0
717,ACLE,Itzyourmall Inc,2.0
718,ACLEEE,American Council for an Energy-Efficient Economy,4.0
719,ACLEND,Accredited Home Lenders Holdings Co,6.0
720,ACLFIR,American Council of Life Insurers,25.0
721,ACLGRP,Accell Group NV,11.0
722,ACLIOS,Falck Renewables S.p.A.,9.0
723,ACLLCZ,Worldwide Diversified Holdings Inc,6.0
724,ACLLIT,The American College,19.0
725,ACLLIU,Acell Inc.,37.0
726,ACLLP,Actis LLP,14.0
727,ACLMCI,Anderson Columbia Company Inc,4.0
728,ACLOCL,Acloche Llc,38.0
729,ACLREI,Accelerate Diagnostics Inc.,1877.0
730,ACLRTH,"Aclaris Therapeutics, Inc",2922.0
731,ACLSII,Closure Systems International Inc,4.0
732,ACLSVC,ACL Services Limited,85.0
733,ACLUNY,American Civil Liberties Union,537.0
734,ACLZKP,"Accelerize New Media, Inc.",10.0
735,ACMBIN,Sanofi Pasteur Biologics Co.,72.0
736,ACMCCI,Acme Metal Cap Co. Inc.,1.0
737,ACMD,Atlas Consolidated Mining and Development Corp,2.0
738,ACMDWI,Accupack Midwest Inc.,7.0
739,ACMEBR,Acme Brick Company,3.0
740,ACMEHC,Acme-Hardesty Company,30.0
741,ACMEM,Acme Markets Inc,5.0
742,ACMEP,Acme Packet Inc,126.0
743,ACMGAN,American Marketing Association,45.0
744,ACMGIF,"AllianceBernstein Income Fund, Inc.",11.0
745,ACMICZ,MTGE Investment Corp,114.0
746,ACMIL,AC Milan,11.0
747,ACMLBL,The ACME Laboratories Limited,4.0
748,ACMMAN,Skyline Millars Ltd,3.0
749,ACMMCC,Acme-McCrary Corporation,2.0
750,ACMMLI,Acm Medical Laboratory Inc.,12.0
751,ACMMON,Acme-Monaco Corporation,21.0
752,ACMNEI,Acumen Enterprises Inc.,4.0
753,ACMNLP,Aurelius Capital Management LP,15.0
754,ACMNPI,Acumen Pharmaceuticals Inc,86.0
755,ACMRES,ACM Research Inc,32.0
756,ACMRRR,Rapid Dose Therapeutics Corp,3.0
757,ACMSG,ACM Shipping Group plc,1.0
758,ACMSOL,"Acumen Solutions, Inc.",5.0
759,ACMTPL,Acme Cleantech Solutions Limited,2.0
760,ACMV,Quadrant AG,10.0
761,ACMVEN,AccuVein LLC,6.0
762,ACMZZA,Pivot Technology Solutions Inc.,11.0
763,ACNAI,Atlas Copco North America Inc,2.0
764,ACNBCP,ACNB Corp,12.0
765,ACNCNN,AAA Allied Group Inc,1.0
766,ACNDI,AstraZeneca Canada Inc,59.0
767,ACNETS,Occam Networks Inc,2.0
768,ACNFCD,Action for Children,22.0
769,ACNLXC,American Council on Exercise,15.0
770,ACNMDC,Alameda Health System,8.0
771,ACNMID,American College of Nurse-Midwives,30.0
772,ACNO,Acerinox SA,46.0
773,ACNOEA,American Canoe Association,1.0
774,ACNTMI,Auto Control Medical Inc,9.0
775,ACNTSC,Alcohol Countermeasure Systems Corp,17.0
776,ACNWU,Access Now,3.0
777,ACNXPL,Aconex Limited,8.0
778,ACNXUL,Aconex (UK) Ltd,2.0
779,ACNZ,Accident Rehabilitation & Compensation Insurance Corp,4.0
780,ACOAPL,Apple Pty Ltd,64.0
781,ACOCAP,American Academy of Child and Adolescent Psychiatry,250.0
782,ACOEC,American Council of Engineering Companies,5.0
783,ACOGYN,American College of Obstetricians and Gynecologists,962.0
784,ACOILL,ACON Investments LLC,76.0
785,ACOLD,Americold Logistics Inc,9.0
786,ACOLG,Acologix Inc,3.0
787,ACOMLN,American Commercial Lines Inc,10.0
788,ACONLB,ACON Laboratories Inc,98.0
789,ACONUT,American College of Nutrition,78.0
790,ACOO,CHS Agri Service Center,4.0
791,ACOOPA,Agropur Cooperative Agro-Alimentaire,14.0
792,ACOPHY,American College of Emergency Physicians,371.0
793,ACOPPZ,Atlantic Coast Pipeline LLC,8.0
794,ACOPT,Hallmark Financial Services Inc,19.0
795,ACOREG,American Council on Renewable Energy,2.0
796,ACORHI,Advanced Correctional Healthcare Inc,5.0
797,ACORKG,Kelheim Fibres GmbH,6.0
798,ACOSEG,Acoreana de Seguros,3.0
799,ACOSTS,"Acosta, Inc.",12.0
800,ACOTRF,Royal Flying Doctor Service,2.0
801,ACOTUS,Atlantic Council,77.0
802,ACOUS,ACO Hud AB,40.0
803,ACPASZ,Abris Capital Partners Sp z.o.o,2.0
804,ACPBPK,Atlantic Capital Bancshares Inc,41.0
805,ACPBSI,Data Deposit Box Inc,2.0
806,ACPEIN,American Capital Energy Inc,3.0
807,ACPEQC,Accutek Packaging Equipment Companies Inc.,9.0
808,ACPGUS,Atlanta Capital Group,9.0
809,ACPHY,American College of Physicians,1206.0
810,ACPIF,Qisda Corporation,7.0
811,ACPMLP,Adage Capital Management LP,1767.0
812,ACPOFI,Access Point Financial Inc.,2.0
813,ACPOTT,Societa Azionaria per la Condotta di Acque Potabili,2.0
814,ACPPRT,Alinda Capital Partners LLC,2.0
815,ACPRV,B&C Privatstiftung,19.0
816,ACPSPL,ACG Associated Capsules Pte Ltd,43.0
817,ACPTEF,Angel Resource Institute,11.0
818,ACPTLB,Atlantic Capital Bank NA,1.0
819,ACPTMP,Alchemy Capital Management Pvt Ltd,3.0
820,ACPTPA,Anchorage Capital Partners,2.0
821,ACQCGL,Acquis Consulting Group LLC,1.0
822,ACQCOC,Medexus Pharmaceuticals Inc,240.0
823,ACQCRI,"The ONE Group Hospitality, Inc.",26.0
824,ACQIU,Acquia Inc.,48.0
825,ACQPDIE,SJF Ventures,4.0
826,ACQSP,Fluidra SA,4.0
827,ACQUGL,Acquity Group Ltd.,48.0
828,ACQVAC,Aquaculture Vaccines Ltd,30.0
829,ACRCZZ,Ares Commercial Real Estate Corp,182.0
830,ACRDMT,American Academy of Arts and Letters,1.0
831,ACRE,Acacia Research Corp,694.0
832,ACREL,ACR Electronics Inc,16.0
833,ACRGPT,Asia Capital Reinsurance Group Pte. Ltd.,22.0
834,ACRHEU,American College of Rheumatology,2836.0
835,ACRIME,Australian Criminal Intelligence Commission,1.0
836,ACRINT,Accuride International Incorporated,1.0
837,ACRMA,ACR Machine Inc,2.0
838,ACRMD,Americare Medical Inc,2.0
839,ACRNCI,Acorn Cardiovascular Inc.,16.0
840,ACRNEG,Acorn Engineering Company,3.0
841,ACROGY,American College of Radiology,293.0
842,ACROMH,Acromas Holdings Ltd,2.0
843,ACRPRE,China Prosperous Clean Energy Corporation,6.0
844,ACRSDA,Cicero Inc,9.0
845,ACRSER,Acer Incorporated,118.0
846,ACRSHI,American Caresource Holdings Inc,63.0
847,ACRSOF,"Flexera Software, Inc.",6.0
848,ACRTE,Ala Carte Entertainment Inc,2.0
849,ACRTEC,Acacia Research-Acacia Technologies,42.0
850,ACRTOZ,Agellan Commercial REIT,1.0
851,ACRTRL,Aston Carter Ltd,1.0
852,ACRUCI,Air Cruisers Company Inc,4.0
853,ACRUKS,Acrux Ltd,301.0
854,ACSALS,Xerox State & Local Solutions Inc,2.0
855,ACSCNA,American Cancer Society Cancer Action Network Inc,145.0
856,ACSDOB,ACS Dobfar SpA,89.0
857,ACSEA,Acadian Seaplants Ltd,4.0
858,ACSERV,All for One Group AG,3.0
859,ACSIND,ACS Industries Inc,1.0
860,ACSISI,Acsis Incorporated,27.0
861,ACSIZZ,American Customer Satisfaction Core Alpha ETF,2.0
862,ACSLET,American Solar Energy Society,1.0
863,ACSMCO,ACSM-AGAM SpA,1.0
864,ACSMED,American College of Sports Medicine,91.0
865,ACSNAT,Access National Corp,95.0
866,ACSOFC,Accept Software Corporation,1.0
867,ACSPH,Acusphere Inc,164.0
868,ACSPHR,Acasti Pharma Inc,1569.0
869,ACSPTE,Acciai Speciali Terni S.p.A.,7.0
870,ACSSHL,ACS State Healthcare LLC,135.0
871,ACSSIN,Access Industries Inc.,140.0
872,ACSSMR,The Acoustical Society of America,11.0
873,ACSYS,Abbott Cardiovascular Systems Inc,4932.0
874,ACSYUG,American College of Surgeons,1694.0
875,ACSZSZ,Access Scientific Inc.,111.0
876,ACTAGI,Active Aero Group Inc,11.0
877,ACTALL,Bloomberry Resorts Corp.,5.0
878,ACTAML,Arizant UK Ltd,1.0
879,ACTAPP,Everlast Worldwide Inc,1.0
880,ACTASS,CROPS Inc.,9.0
881,ACTATE,Actuate Corp,168.0
882,ACTBGC,Action Bag Co,9.0
883,ACTBMD,Actinobac Biomed Inc,75.0
884,ACTBTI,ACT Biotech Inc.,42.0
885,ACTCOI,Actelion Clinical Research Inc.,18.0
886,ACTCTH,Dendreon Corp,3985.0
887,ACTDL,Appleton Coated LLC,9.0
888,ACTDPI,Andover Healthcare Inc.,2.0
889,ACTELI,Acotel Group SpA,8.0
890,ACTENT,"Actelis Networks, Inc.",2.0
891,ACTEPF,Actelion Pharmaceuticals France SAS,14.0
892,ACTEXE,Association of Corporate Travel Executives,4.0
893,ACTGER,Acorda Therapeutics Inc,7531.0
894,ACTGR,The AIDS Clinical Trials Group,52.0
895,ACTHFI,Active Health Foods Inc,86.0
896,ACTHRI,Easywell Biomedical Inc,63.0
897,ACTHTT,Advanced Catheter Therapies Inc.,17.0
898,ACTIDE,Alimentation Couche-Tard Inc,216.0
899,ACTIG,Alfred C. Toepfer International GmbH,1.0
900,ACTIND,"Axiom Management, Inc.",4.0
901,ACTISY,Actix International Ltd.,5.0
902,ACTIVI,Active International Inc,2.0
903,ACTLBL,Activation Laboratories Ltd.,1.0
904,ACTLI,ACT Test Panels LLC,1.0
905,ACTMIT,Active Motif Inc.,88.0
906,ACTMUI,Acuity Mutual Insurance Co,2.0
907,ACTN,Sunstates Corp,1.0
908,ACTNFI,Action Fabricators Inc,2.0
909,ACTNGN,Actinogen Medical Ltd.,27.0
910,ACTNPA,Action Pharma A/S,2.0
911,ACTNTW,"The Active Network, Inc.",184.0
912,ACTOCP,Acton Capital Partners GmbH,2.0
913,ACTOGN,ActoGenix NV,22.0
914,ACTOPH,Acton Pharmaceuticals Inc.,106.0
915,ACTPES,Actelion Pharmaceuticals Espana S.L.,14.0
916,ACTPHR,"Actient Pharmaceuticals, LLC",93.0
917,ACTPJL,Actelion Pharmaceuticals Japan Ltd.,17.0
918,ACTPRD,"Aluf Holdings, Inc.",8.0
919,ACTPRS,ACT 1 Personnel Services,3.0
920,ACTPSA,Actelion Pharmaceuticals Sverige AB,14.0
921,ACTPUI,Activision Publishing Inc,4.0
922,ACTPUL,Actelion Pharmaceuticals UK Ltd,14.0
923,ACTPWR,P10 Holdings Inc.,176.0
924,ACTREI,Action Resources Llc,1.0
925,ACTSEM,Actions Semiconductor Co Ltd,178.0
926,ACTSFF,Action Staffing Inc,2.0
927,ACTSM,Action on Smoking and Health,14.0
928,ACTSUN,hiddn Solutions ASA,1.0
929,ACTSVA,Professional Association for Customer Engagement,3.0
930,ACTSWD,Active Biotech AB,567.0
931,ACTSWS,Actelion Ltd,6096.0
932,ACTUSM,Cobalt 27 Capital Corporation,2.0
933,ACTVBI,ActivBiotics Inc,6.0
934,ACTVC,ACT Venture Capital Ltd,7.0
935,ACTVDI,Activeaid Inc,2.0
936,ACTVIS,Activision Blizzard Inc.,2586.0
937,ACTVRG,Activaero GmbH,27.0
938,ACTVSI,"ActivStyle, Inc.",2.0
939,ACTVSL,Activant Solutions Holdings Inc,3.0
940,ACTVTU,Activotec,2.0
941,ACTVVN,"ActiveVideo Networks, Inc.",6.0
942,ACTXCR,"ActiveCare, Inc",110.0
943,ACTXP,AccuTrex Products Inc,5.0
944,ACTYBJ,"American City Business Journals, Inc",125.0
945,ACTYMU,Academy of Country Music,11.0
946,ACUCO,Acme United Corporation,482.0
947,ACUCXL,Acucela Inc.,1419.0
948,ACUFOI,AcuFocus Inc.,221.0
949,ACUITY,Acuity Brands Inc,684.0
950,ACULF,American Culinary Federation,10.0
951,ACULOI,Aculon Inc.,2.0
952,ACULTC,Acula Technology Corp.,3.0
953,ACUMAT,Acumatica Inc.,7.0
954,ACUMFI,Acumen Fund Inc.,21.0
955,ACUNIO,AmeriCu Credit Union,6.0
956,ACUOT,Acuo Technologies LLC,5.0
957,ACUPLI,Acupath Laboratories Inc.,8.0
958,ACURAN,Acurian Inc,102.0
959,ACURPH,ACUREON Pharmaceuticals Inc,2.0
960,ACUSHN,Acushnet Holdings Corp,129.0
961,ACUSIL,Acusis LLC,3.0
962,ACUSN,Acuson Corp,182.0
963,ACUTRN,Accutron Inc,22.0
964,ACUTUM,Acutus Medical Inc.,165.0
965,ACVEPI,Active Ventilation Products Inc.,11.0
966,ACWMN,Walker Art Center,10.0
967,ACXT,Accsys Technologies PLC,3.0
968,ACYBRI,American CyberSystems Inc.,34.0
969,ACYCLL,Avon Cycles Limited,3.0
970,ACYSLM,Argus Cyber Security Ltd.,2.0
971,ACYSMI,American Cystoscope Makers Inc,5.0
972,ACYTMI,Accuri Cytometers Inc.,38.0
973,ACZAPT,Allegheny County Airport Authority,5.0
974,ADAARL,Adams & Reese L.L.P.,21.0
975,ADACEC,Adams-Columbia Electric Cooperative,1.0
976,ADACIM,Adana Cimento Sanayii TAS,2.0
977,ADACLA,ADAC Laboratories Inc,63.0
978,ADAESC,"Advanced Emissions Solutions, Inc.",62.0
979,ADAGRP,Adecco Group AG,184.0
980,ADAINC,BK Technologies Corp,231.0
981,ADALPL,ADAllen Pharma Ltd,26.0
982,ADAMSF,A.D.A.M. Inc,9.0
983,ADAPSL,Adaptive Solutions Inc,6.0
984,ADAPTE,Steel Excel Inc.,51.0
985,ADAPTL,adidas Australia Pty Limited,1.0
986,ADAPTP,Adaptive Insights Inc,33.0
987,ADARO,PT Adaro Energy Tbk,9.0
988,ADASSL,Advanced Health & Care Ltd,3.0
989,ADATAT,ADATA Technology Company Limited,2.0
990,ADATCT,Adaptive Biotechnologies Corporation,391.0
991,ADATPR,Automatic Data Processing Limited,1.0
992,ADATVU,"Adap.tv, Inc.",10.0
993,ADAWIL,Adani Wilmar Ltd,6.0
994,ADAYAI,Adayana Inc.,4.0
995,ADAYI,Active Day Inc,2.0
996,ADBIFS,Aditya Birla Capital Ltd,4.0
997,ADBION,Advanced BioNutrition Corp.,29.0
998,ADBKCB,MediaBay Inc,4.0
999,ADBNMC,Audubon Machinery Corporation,6.0
1000,ADBORD,The Advisory Board Company,820.0
1001,ADBRII,AdBrite Inc.,1.0
1002,ADBSAR,Advanced Biomaterial Systems Inc,3.0
1003,ADBTEI,Advanced Bio-Technologies Inc,7.0
1004,ADCAGR,Adeco Agropecuaria SA,145.0
1005,ADCAYA,"Clearview Capital, LLC",13.0
1006,ADCCCC,Advent-AWI Holdings Inc.,1.0
1007,ADCCOC,ADCO Container Company,4.0
1008,ADCDII,Advanced Cell Diagnostics Inc.,41.0
1009,ADCHCH,AdChina Ltd,6.0
1010,ADCHEC,Adchem Corporation,10.0
1011,ADCHEI,Adchemy Inc.,3.0
1012,ADCHSI,Regional Health Properties Inc,117.0
1013,ADCOLC,Adcole Corporation,2.0
1014,ADCOMA,ADVANCED CONSTRUCTION MATERIALS LTD,5.0
1015,ADCOQO,Core Products International Inc.,7.0
1016,ADCORP,"Aderans Co., Ltd",5.0
1017,ADCPCC,Mission Gold Ltd.,174.0
1018,ADCPRU,Advantage Capital Partners,13.0
1019,ADCPYI,Solve Media Inc.,6.0
1020,ADCQI,Tecnoglass Inc.,29.0
1021,ADCRE,AdaCore,7.0
1022,ADCSIF,Advent Claymore Convertible Securities & Income Fund,38.0
1023,ADCUIG,ADCURAM Group AG,1.0
1024,ADDCHL,GTI Holdings Limited,2.0
1025,ADDDT,EnergeX Tube,1.0
1026,ADDEMK,Aberdeen Emerging Markets Investment Co Ltd,2.0
1027,ADDLEI,Bidstack Group PLC,3.0
1028,ADDNBH,Addenbrooke's Hospital,21.0
1029,ADDSWD,ADDvise Group AB,18.0
1030,ADDTCH,Addtech AB,9.0
1031,ADDTIN,Additech Inc,2.0
1032,ADDUHI,Addus HomeCare Corporation,412.0
1033,ADDVM,ADDvantage Technologies Group Inc.,190.0
1034,ADDYTPS,Mission Health System Foundation Inc.,2.0
1035,ADEASN,American Dental Education Association,49.0
1036,ADEBC,Adelaide Brighton Ltd,6.0
1037,ADECCI,Adecco Inc,5.0
1038,ADECI,A-Dec Inc,127.0
1039,ADEFEI,ACS Defense Inc,1.0
1040,ADEHA,Addex Therapeutics SA,448.0
1041,ADEHSI,Adena Health System,11.0
1042,ADELCM,Adelphia Communications Corporation,4.0
1043,ADEMLO,"Ademi & O'Reilly, LLP",2.0
1044,ADEMTE,Ademtech SA,2.0
1045,ADENIN,Advanced Energy Industries Inc,499.0
1046,ADENMI,Aspen Dental Management Inc,36.0
1047,ADENRE,Advanced Environmental Recycling Technologies Inc,6.0
1048,ADENSC,Arnold Dental Supply Co Inc,2.0
1049,ADENSO,Aden Solutions Inc.,2.0
1050,ADEQ,Adam Equipment Co,9.0
1051,ADERII,A.N. Deringer Inc.,1.0
1052,ADESMF,Autorité des Marchés Financiers (France),2256.0
1053,ADETHP,AdeTherapeutics Inc.,15.0
1054,ADETLM,Advanced Enzyme Technologies Ltd.,99.0
1055,ADEUTG,Astellas Deutschland GmbH,6.0
1056,ADEV,Analog Devices Inc,4330.0
1057,ADEXNS,Adani Enterprises Ltd,139.0
1058,ADEXS,Adex Securities Inc,5.0
1059,ADFAPP,Adfactors PR Pvt Ltd,1.0
1060,ADFGPT,Ascletis Pharma Incorporated,25.0
1061,ADFISI,Embrace Home Loans Inc,2.0
1062,ADFQ,ADF Group Inc,9.0
1063,ADFSYS,Amiad Water Systems Ltd.,3.0
1064,ADGCR,ADG Creative,14.0
1065,ADGEI,American DG Energy Inc,258.0
1066,ADGN,American Diagnostics Corp,3.0
1067,ADGNIU,"Allegro Diagnostics, Inc.",20.0
1068,ADGYG,Audigy Group LLC,15.0
1069,ADHA,American Dental Hygienists' Association,30.0
1070,ADHBSE,Abu Dhabi Securities Exchange,1.0
1071,ADHCMZ,Adherence Corp.,7.0
1072,ADHEAL,Advantage Health Corp,12.0
1073,ADHER,Fennec Pharmaceuticals Inc.,1272.0
1074,ADHHTY,Alphabet Energy Inc.,2.0
1075,ADHS,Adventist Health System Sunbelt Healthcare Corporation,144.0
1076,ADHSOI,AdvantEdge Healthcare Solutions Inc.,52.0
1077,ADHUCL,Ausnutria Dairy Corporation Limited,28.0
