,clean NDC company,original NDC company,NDC row,corporate family,clean DNA row,clean DNA company,original DNA company,fuzz ratio
707,sunrise,"Sunrise Pharmaceutical Inc, SUNRISE PHARMACEUTICAL, INC, SUNRISE PHARMACEUTICAL, INC.","6037, 6038, 6039",sunrise,"[52361, 54595]","['sunrise', 'sunrise']","['Sunrise Medical Inc', 'Sunrise Medical Ltd']","[100, 100]"
708,sunstar americas,"Sunstar Americas, Inc.",6041,sunstar americas,[31003],['sunstar americas'],['Sunstar Americas Inc.'],[100]
709,super,Super Care Inc,6046,super,[53209],['super'],['Super Group Limited'],[100]
710,supervalu,"Supervalu, Supervalu Inc, Supervalu Inc., SuperValu Inc.,, Supervalu, Inc, Supervalu, INC., SUPERVALU, INC.,","6056, 6057, 6058, 6059, 6060, 6061, 6062",supervalu,[54797],['supervalu'],['SUPERVALU Inc'],[100]
711,suven life sciences,Suven Life Sciences Limited,6072,suven life sciences,[54713],['suven life sciences'],['Suven Life Sciences Ltd'],[100]
712,swallowfield,Swallowfield PLC,6076,swallowfield,[1403],['swallowfield'],['Swallowfield PLC'],[100]
713,swedish orphan biovitrum,SWEDISH ORPHAN BIOVITRUM AB (PUBL),6077,swedish orphan biovitrum,[7565],['swedish orphan biovitrum'],['Swedish Orphan Biovitrum AB'],[100]
714,synergy,Synergy Pharmaceuticals Inc.,6088,synergy,[55068],['synergy'],['Synergy Health PLC'],[100]
715,t,7T Pharma LLC,36,t,[57873],['t'],['T2 Systems Inc.'],[100]
716,takeda america,"Takeda Pharmaceuticals America, Inc.",6115,takeda america,[55231],['takeda america'],['Takeda America Holdings Inc'],[100]
717,talon therapeutics,"Talon Therapeutics, Inc.",6118,talon therapeutics,[19068],['talon therapeutics'],['Talon Therapeutics Inc.'],[100]
718,target,"Target, Target Corp, Target Corp., Target Corp.,, TARGET Corporation, Target Corporation Inc., Target Corporation.","6120, 6122, 6123, 6124, 6125, 6126, 6127",target,"[16040, 56071]","['target', 'target']","['Target Corporation', 'Target Capital Inc.']","[100, 100]"
719,tarmac,"Tarmac Products, Inc",6129,tarmac,[55365],['tarmac'],['Tarmac plc'],[100]
720,tdc,"Tdc, Co. Ltd",6148,tdc,[55789],['tdc'],['TDC A/S'],[100]
721,team,"Team Technologies, Inc, Team Technologies, Inc.","6150, 6151",team,"[55661, 55664, 56726, 57756]","['team', 'team', 'team', 'team']","['Team Inc', 'Team17 Group Ltd', 'Team Health Holdings Inc', 'Team Technologies Inc.']","[100, 100, 100, 100]"
722,technology,"Medical Technology Products, Inc.",4008,technology,"[21986, 30175, 46644, 55886]","['technology', 'technology', 'technology', 'technology']","['4 D Technology Corporation', 'International Technology Group', 'Medical International Technology Inc', 'Technology Partners Inc.']","[100, 100, 100, 100]"
723,teligent,"Teligent Pharma, Inc., Teligent, Inc.","6169, 6170",teligent,[28715],['teligent'],['Teligent Inc.'],[100]
724,tender,Tender Corporation,6175,tender,[55860],['tender'],['Tender Corporation'],[100]
725,terraboost media,Terraboost Media LLC,6180,terraboost media,[57576],['terraboost media'],['Terraboost Media LLC'],[100]
726,terumo,Terumo Corporation,6191,terumo,"[55906, 55925]","['terumo', 'terumo']","['Terumo Corp', 'Terumo Medical Corporation']","[100, 100]"
727,terumo bct,"Terumo BCT Ltd, Terumo BCT Ltd., Terumo BCT, Ltd, Terumo BCT, Ltd.","6187, 6188, 6189, 6190",terumo bct,[22888],['terumo bct'],"['Terumo BCT, Inc.']",[100]
728,tesaro,"Tesaro, Inc.",6192,tesaro,[41050],['tesaro'],['TESARO Inc.'],[100]
729,tetra,The Tetra Corporation,6275,tetra,[55953],['tetra'],['Tetra Technologies Inc'],[100]
730,teva neuroscience,"Teva Neuroscience, Inc.",6195,teva neuroscience,[55964],['teva neuroscience'],"['Teva Neuroscience, Inc.']",[100]
731,teva parenteral medicines,"Teva Parenteral Medicines, Inc.",6196,teva parenteral medicines,[51652],['teva parenteral medicines'],['Teva Parenteral Medicines Inc.'],[100]
732,teva womens,"Teva Women's Health, Inc.",6203,teva womens,[17942],['teva womens'],"[""Teva Women's Health Inc""]",[100]
733,ther-rx,Ther-Rx Corporation,6290,ther-rx,[56150],['ther-rx'],['Ther-Rx Corporation'],[100]
734,therakos,"Therakos, Inc.",6292,therakos,[56273],['therakos'],['Therakos Inc.'],[100]
735,therapeuticsmd,"TherapeuticsMD, Inc.",6296,therapeuticsmd,[14681],['therapeuticsmd'],['TherapeuticsMD Inc.'],[100]
736,theratechnologies,Theratechnologies Inc.,6299,theratechnologies,[56321],['theratechnologies'],['Theratechnologies Inc'],[100]
737,tibet cheezheng tibetan medicine,"Tibet Cheezheng Tibetan Medicine Co. Ltd, Tibet Cheezheng Tibetan Medicine Co. Ltd.","6315, 6316",tibet cheezheng tibetan medicine,[55475],['tibet cheezheng tibetan medicine'],['Tibet Cheezheng Tibetan Medicine Company Limited'],[100]
738,titan,"Titan Pharmaceuticals, Inc.",6334,titan,"[5186, 31439, 56489, 56500, 56707]","['titan', 'titan', 'titan', 'titan', 'titan']","['Titan Energy LLC', 'Titan Medical Inc', 'Titan Company Ltd.', 'Titan International Inc', 'Titan Medical Group LLC']","[100, 100, 100, 100, 100]"
739,tolmar,"TOLMAR Inc., TOLMAR PHARMACEUTICALS INC.","6345, 6346",tolmar,[56946],['tolmar'],['TOLMAR Inc.'],[100]
740,topco associates,"Topco Associates, Topco associates LLC, Topco Associates LLC., Topco Associates, LLC","6374, 6375, 6376, 6377",topco associates,[55571],['topco associates'],['Topco Associates LLC'],[100]
741,tower,"Tower Laboratories Ltd, Tower Laboratories Ltd.","6396, 6397",tower,"[3369, 57066, 58094]","['tower', 'tower', 'tower']","['American Tower REIT', 'Tower International Inc', 'Tower Group International Ltd.']","[100, 100, 100]"
742,town,Health Town Inc,2915,town,[57069],['town'],['Town Health International Medical Group Ltd'],[100]
743,trader joes,Trader Joe's Company,6402,trader joes,[57292],['trader joes'],"[""Trader Joe's Company, Inc""]",[100]
744,trifecta,"Trifecta Pharmaceutical USA LLC, Trifecta Pharmaceuticals USA, TRIFECTA PHARMACEUTICALS USA LLC, Trifecta Pharmaceuticals USA LLC., Trifecta Pharmaceuticals USA, LLC, Trifecta Pharmaceuticals USA, LLC.","6414, 6415, 6416, 6417, 6418, 6419",trifecta,[57392],['trifecta'],['Trifecta Technologies Inc.'],[100]
745,tristrata,"TriStrata, Inc.",6429,tristrata,[57778],['tristrata'],['TriStrata Inc.'],[100]
746,triumph,Triumph Pharmaceuticals Inc.,6430,triumph,[57399],['triumph'],['Triumph Group Inc'],[100]
747,trividia,"Trividia Health, Inc.",6431,trividia,[40342],['trividia'],"['Trividia Health, Inc.']",[100]
748,twincraft,Twincraft Inc,6463,twincraft,[58062],['twincraft'],['Twincraft Inc.'],[100]
749,ucb,"UCB, Inc.",6476,ucb,[58305],['ucb'],['UCB SA'],[100]
750,uline,Uline,6484,uline,[58487],['uline'],['Uline Inc.'],[100]
751,unipack,"Unipack, Unipack, Inc.","6510, 6511",unipack,[58928],['unipack'],['Unipack Medical Corporation'],[100]
752,united,"United Laboratories, Inc.",6527,united,"[35746, 39826, 58222, 58253, 58616, 58659, 59604]","['united', 'united', 'united', 'united', 'united', 'united', 'united']","['United Capital Corp', 'United, Inc.', 'United American Energy Inc', 'United Bank Ltd', 'United Medical Corp', 'United National Corporation', 'United Technologies Corporation']","[100, 100, 100, 100, 100, 100, 100]"
753,united airlines,United Airlines,6520,united airlines,[13830],['united airlines'],['United Airlines Inc.'],[100]
754,united therapeutics,"United Therapeutics Corp., United Therapeutics Corporation","6534, 6535",united therapeutics,[59668],['united therapeutics'],['United Therapeutics Corp'],[100]
755,united-guardian,"United-Guardian, Inc.",6537,united-guardian,[40356],['united-guardian'],['United-Guardian Inc'],[100]
756,universal companies,"Universal Companies, Inc.",6539,universal companies,[59035],['universal companies'],['Universal Companies Inc.'],[100]
757,usana sciences,"USANA Health Sciences, Inc.",6558,usana sciences,[59286],['usana sciences'],['USANA Health Sciences Inc'],[100]
758,v,"V1 Pharma Llc, V2 Pharma, LLC","6562, 6563",v,"[61102, 63228]","['v', 'v']","['3V Group', 'V1 Group Limited']","[100, 100]"
759,validus,Validus Pharmaceuticals LLC,6569,validus,[60580],['validus'],"['Validus Holdings, Ltd.']",[100]
760,valley,"Valley Medical Products, LLC",6570,valley,"[60297, 60635]","['valley', 'valley']","['Valley Health Systems Inc.', 'Valley Medical Group P.C.']","[100, 100]"
761,ventures,"B4 Ventures LLC, B4 Ventures, LLC","858, 859",ventures,[43376],['ventures'],['137 Ventures'],[100]
762,verastem,"Verastem, Inc.",6610,verastem,[27395],['verastem'],"['VeraStem, Inc.']",[100]
763,vericel,Vericel Corporation,6611,vericel,[191],['vericel'],['Vericel Corp'],[100]
764,verio,Verio Healthcare Inc.,6613,verio,[60172],['verio'],['Verio Inc'],[100]
765,vertex,Vertex Pharmaceuticals Incorporated,6621,vertex,"[18193, 61073]","['vertex', 'vertex']","['Vertex Energy Inc.', 'Vertex Inc']","[100, 100]"
766,vi,Vi Medical Products Inc.,6629,vi,[60828],['vi'],['VI Partners AG'],[100]
767,vi-jon,"Vi-Jon, Vi-Jon, Inc, Vi-Jon, Inc.","6631, 6632, 6633",vi-jon,[60551],['vi-jon'],['Vi-Jon Inc'],[100]
768,viaderma,"VIADERMA II, INC., ViaDerma, Inc","6635, 6636",viaderma,[38610],['viaderma'],['ViaDerma Inc'],[100]
769,village,"The Village Company, Village Pharma, Village Pharma LLC, Village Pharma, LLC","6281, 6641, 6642, 6643",village,[63103],['village'],['Village Capital'],[100]
770,virtus,"Virtus Pharmaceuticals, Virtus Pharmaceuticals LLC, Virtus Pharmaceuticals, LLC","6653, 6654, 6655",virtus,[60448],['virtus'],['Virtus Health Ltd.'],[100]
771,vista,"Vista Pharmaceuticals, Inc.",6656,vista,"[27580, 60997]","['vista', 'vista']","['Health Vista Pvt. Ltd.', 'Vista Technologies']","[100, 100]"
772,vivus,"Vivus, Inc.",6682,vivus,[60544],['vivus'],['Vivus Inc'],[100]
773,wakefern food,"Wakefern Food Corp, WakeFern Food Corp., Wakefern Food Corporation","6703, 6704, 6705",wakefern food,[62029],['wakefern food'],['Wakefern Food Corp'],[100]
774,wallace,Wallace Pharmaceuticals Inc.,6740,wallace,[22753],['wallace'],['Wallace and Company'],[100]
775,walmart,"WalMart, WalMart Inc, Walmart Inc., Walmart Inc.,, Walmart, Inc, Walmart, Inc., Walmart, Inc.,","6742, 6743, 6744, 6745, 6751, 6752, 6753",walmart,[62127],['walmart'],['Walmart Inc'],[100]
776,waters,INTERNATIONAL WATERS PTY. LTD.,3252,waters,[61319],['waters'],['Waters Corp'],[100]
777,wegmans food markets,"Wegmans Food Markets, WEGMANS FOOD MARKETS INC, Wegmans Food Markets Inc., Wegmans Food Markets, inc","6785, 6786, 6787, 6788",wegmans food markets,[61536],['wegmans food markets'],['Wegmans Food Markets Inc'],[100]
778,weis markets,Weis Markets Inc.,6793,weis markets,[61560],['weis markets'],['Weis Markets Inc'],[100]
779,weleda,"Weleda AG, Weleda, Inc.","6797, 6798",weleda,[61571],['weleda'],['Weleda AG'],[100]
780,wella,The Wella Corporation,6282,wella,"[61564, 61575]","['wella', 'wella']","['Wella AG', 'Wella Corporation']","[100, 100]"
781,wellspring,WellSpring Pharmaceutical Corporation,6803,wellspring,[62591],['wellspring'],['Wellspring International'],[100]
782,wellstat therapeutics,Wellstat Therapeutics Corporation,6804,wellstat therapeutics,[62682],['wellstat therapeutics'],['Wellstat Therapeutics Corporation'],[100]
783,westminster,"Westminster Pharmaceuticals, Westminster Pharmaceuticals, LLC","6826, 6827",westminster,"[41772, 62196]","['westminster', 'westminster']","['National Westminster Bank PLC', 'Westminster Group PLC']","[100, 100]"
784,whole foods market,"Whole Foods Market, Whole Foods Market, Inc.","6844, 6845",whole foods market,[61804],['whole foods market'],['Whole Foods Market Inc'],[100]
785,wilshire,"Wilshire Pharmaceuticals, Wilshire Pharmaceuticals Inc, Wilshire Pharmaceuticals Inc., Wilshire Pharmaceuticals, Inc.","6850, 6851, 6852, 6853",wilshire,"[61913, 61915]","['wilshire', 'wilshire']","['Wilshire Bank', 'Wilshire Technologies Inc']","[100, 100]"
786,winco foods,"Winco Foods, WinCo Foods LLC, WinCo Foods, LLC, WinCo Foods, LLC,, Winco Foods, LLC.","6856, 6857, 6858, 6859, 6860",winco foods,[61697],['winco foods'],['WinCo Foods Inc'],[100]
787,winner,"Winner Medical (Jiayu) Co., Ltd., Winner Medical Co., Ltd.","6863, 6864",winner,[60095],['winner'],['Winner Medical Group Inc'],[100]
788,wockhardt,"Wockhardt Limited, Wockhardt USA LLC.","6873, 6874",wockhardt,[61416],['wockhardt'],['Wockhardt Ltd'],[100]
789,woodward,Woodward Pharma Services LLC,6882,woodward,[61471],['woodward'],['Woodward Inc.'],[100]
790,ww grainger,"W.W. GRAINGER, INC.",6698,ww grainger,[24739],['ww grainger'],"['W.W. Grainger, Inc.']",[100]
791,wyeth,Wyeth Pharmaceuticals Company,6903,wyeth,"[1808, 15691]","['wyeth', 'wyeth']","['Wyeth LLC', 'Wyeth Ltd.']","[100, 100]"
792,x labs,X3 Labs Inc.,6907,x labs,[63128],['x labs'],['X3 Labs Inc'],[100]
793,xiamen,"Xiamen LP Pharmaceutical Co., Ltd.",6918,xiamen,[62983],['xiamen'],['Xiamen International Bank Company Limited'],[100]
794,xl,2xl Corporation,14,xl,[63030],['xl'],['XL Group Ltd'],[100]
795,yes to,"Yes To Inc., Yes To Incorporated, Yes To, Inc.","6942, 6943, 6944",yes to,[63288],['yes to'],['Yes To Inc.'],[100]
796,young living essential oils,"Young Living Essential Oils, LC",6955,young living essential oils,[4496],['young living essential oils'],"['Young Living Essential Oils, LC']",[100]
797,zee,"Zee Medical, Zee Medical Inc","6976, 6977",zee,[63599],['zee'],['Zee Medical Inc'],[100]
798,zep,"Zep Inc., Zep, Inc","6983, 6984",zep,[63637],['zep'],['Zep Inc.'],[100]
799,zoom,ZOOM PRODUCTS LLC,7012,zoom,[63786],['zoom'],['Zoom Technologies Inc'],[100]
