Raw,Freq,entity,certificate,confidence_entry,confidence_cert,confidence
Certified Overhead Crane Operator,200,National Commission for the Certification of Crane Operators,Mobile Crane Operator,0.2657,0.6285,0.1883
CompTIA comptia comptia security+,170,CompTIA,CompTIA Security+ Certification,0.2657,0.6285,0.1883
comptia comptia security+,27,CompTIA,CompTIA Security+ Certification,0.2657,0.6285,0.1883
CompTIA Security+,1994,CompTIA,CompTIA Security+ Certification,0.2657,0.6285,0.1883
Clinical Laboratory Technologist,15,National Registry of Certified Chemists,Clinical Chemistry Technologist,0.2656,0.6282,0.1881
PMI Professional in Business Analysis (PMI-PBA),6,International Institute of Business Analysis,Certified Business Analysis Professional (CBAP),0.3427,0.4864,0.1879
Certified Electronics Technician Associate,54,Electronics Technicians Association (ETA) International,"Electronics, Certified Electronics Technician (CET) Associate",0.3150,0.5289,0.1878
Certified Manager of Community Associations (CMCA),19,Community Transportation Association of America,Certified Community Transit Manager,0.3322,0.4997,0.1871
Certified Pharmacy Technician,201,National Healthcareer Association (NHA) ,Pharmacy Technician,0.2243,0.7324,0.1852
Marine Radio Operator Permit,1,"Society of Broadcast Engineers, Inc.",Certified Radio Operator,0.2635,0.6233,0.1851
Radio Operator,26,"Society of Broadcast Engineers, Inc.",Certified Radio Operator,0.2635,0.6233,0.1851
Photovoltaic Installer,44,ETA International,Photovoltaic Installer/Designer,0.2634,0.6232,0.1851
Registered Cardiac Electrophysiology Specialist,18,Cardiovascular Credentialing International,Registered Cardiac Sonographer (RCS),0.3492,0.4660,0.1834
Certified Central Service Vendor Program (CCSVP),3,International Association of Healthcare Central Services Material Management  (IAHCSMM),Central Service Technician,0.2708,0.5983,0.1826
Certification of Capability in Business Analysis (CCBA),1,ESCO Group,Combustion Analysis Certification,0.3559,0.4505,0.1807
Storm Water Management Operator,1, Board for Waterworks and Wastewaterworks Operators and On-Site Sewage System Professionals ,Water Works Operator,0.2602,0.6156,0.1806
Leadership and Management,2,Federal Emergency Management Agency (FEMA),Leadership and Influence,0.3250,0.4925,0.1804
Certified Systems Integrator,10,Electronic Security Association,Certified Systems Integrator,0.2595,0.6139,0.1796
Adobe InDesign (Certified),1,Adobe Systems Incorporated ,Adobe Certified Associate - Indesign,0.2986,0.5298,0.1783
American Occupational Therapy Association (AOTA),38,National Board for Certification in Occupational Therapy,Certified Occupational Therapy Assistant (COTA),0.3338,0.4737,0.1782
Certified Medical Office Specialist,1,National Center for Competency Testing (NCCT),Medical Office Assistant (NCMOA),0.3449,0.4583,0.1782
Backflow Prevention Certification,346,International Association of Plumbing and Mechanical Officials,Backflow Prevention Assembly Repairer Certification,0.3335,0.4734,0.1780
Backflow Tester Certification,67,International Association of Plumbing and Mechanical Officials,Backflow Prevention Assembly Tester Certification,0.3335,0.4734,0.1780
Certified Heavy Equipment Mechanic,2,National Center for Construction Education and Research (NCCER),Heavy Equipment Operations - Level 2,0.4096,0.3845,0.1775
Supply Chain Management Certification,7,APICS,APICS Certified Supply Chain Professional,0.3964,0.3969,0.1774
Certified Service Provider,1,"Cisco Systems, Inc.",CCNP Service Provider,0.2664,0.5879,0.1765
Certified Court Reporter,154,American Association of Electronic Reporters and Transcribers,Certified Electronic Court Reporter,0.2964,0.5259,0.1757
Certified Culinary Educator,4,"American Culinary Federation, Inc.",Certified Secondary Culinary Educator,0.2964,0.5259,0.1757
Certified Sous Chef,417,American Culinary Federation,Certified Sous Chef (CSC),0.2964,0.5259,0.1757
Certified Irrigation Auditor,2,Irrigation Association,Certified Landscape Irrigation Auditor,0.2953,0.5239,0.1744
Autodesk Certified User (ADCU),13,Autodesk,Autodesk AutoCad Certified User,0.2953,0.5239,0.1744
Master Project Management,144,National Center for Construction Education and Research (NCCER),Construction Project Management,0.2555,0.6045,0.1741
Project Management Certification,5534,National Center for Construction Education and Research (NCCER),Construction Project Management,0.2555,0.6045,0.1741
Certified Coding Associate,1,American Health Information Management Association (AHIMA),Certified Coding Associate,0.2549,0.6029,0.1732
Alcohol Management Certification,6,National Restaurant Association,ServSafe Alcohol,0.3095,0.4961,0.1730
BICSI Technician,68,Building Industry Consulting Service International,BICSI Technician,0.2075,0.7363,0.1722
Automotive Service Excellence Engine Repair,3,National Institute for Automotive Service Excellence,Automobile and Light Truck Certification: : Engine Repair  (A1),0.6461,0.2364,0.1722
Certified Building Inspector,691,International Code Council,Residential Building Inspector,0.2627,0.5790,0.1714
Certified Assistant Service Manager,2,Professional Service Association,Certified Service Manager,0.2527,0.5978,0.1703
Certified Field Service Manager,3,Professional Service Association,Certified Service Manager,0.2527,0.5978,0.1703
Certified Service Manager (CSM),63,Professional Service Association,Certified Service Manager,0.2527,0.5978,0.1703
Oil Heating Certification,2,"North American Technician Excellence, Inc.",Oil Heating (Air) Service,0.3194,0.4730,0.1703
Neonatal Pediatric Transport,4,The National Certification Corporation,Certificate of Added Qualification in Neonatal Pediatric Transport,0.4118,0.3653,0.1695
GIAC Information Security Fundamentals,8,Global Information Assurance Certification,GIAC Security Essentials Certification (GSEC),0.3958,0.3787,0.1690
GIAC Information Security Professional (GISP),117,Global Information Assurance Certification,GIAC Security Essentials Certification (GSEC),0.3958,0.3787,0.1690
GIAC Legal Issues in Information Technology & Security,3,Global Information Assurance Certification,GIAC Security Essentials Certification (GSEC),0.3958,0.3787,0.1690
Certified Mechanical Inspector,135,International Code Council,Commercial Mechanical Inspector,0.2606,0.5741,0.1686
Professional Community Association Manager,22,Community Transportation Association of America,Certified Community Transit Manager,0.3177,0.4679,0.1676
Aerial Rescue and Fire Fighting (ARFF),344,Aircraft Rescue and Fire Fighting Training Alliance,Airport Fire Officer,0.4780,0.3102,0.1671
GIAC Security Leadership (GSLC),32,Global Information Assurance Certification,GIAC Security Essentials Certification (GSEC),0.3232,0.4587,0.1671
Certified Professional in Supply Management (CPSM),28,APICS,APICS Certified Supply Chain Professional,0.4590,0.3226,0.1670
Administrative Assistant Certification,144,American Medical Certification Association (AMCA),Medical Administrative Assistant (CMAA),0.3163,0.4675,0.1667
Construction Technology,53,Construction Specifications Institute,Construction Documents Technology,0.2488,0.5885,0.1651
National Institute of Standards and Technology (NIST),44,National Coalition of Certification Centers (NC-3),AMI - Primary Standards,0.4484,0.3255,0.1645
Registered Vascular Technologist,82,American Registry of Radiologic Technologists (ARRT),Registered Vascular Sonographer RT(VS),0.3906,0.3728,0.1641
Alliance of Information and Referral Systems (AIRS) Certification,3,National Coalition of Certification Centers (NC-3),Mechanical Systems,0.4015,0.3613,0.1635
Quality Control Certification,88,International Association of Plumbing and Mechanical Officials,Infection Control & Water Quality Certification,0.3183,0.4518,0.1621
Certified Satellite Installer (CSI),181,Electronics Technicians Association (ETA) International,Certified Satellite Dish Installer,0.2846,0.5050,0.1620
National Council For Interior Design Qualification (NCIDQ) Certified,1,United States Green Building Council (USGBC),LEED AP Interior Design + Construction,0.3834,0.3699,0.1599
Certified Wireless Network Administrator (CWNA),17,Cisco,Cisco Certified Network Associate (CCNA) Wireless,0.3462,0.4095,0.1598
Allen Bradley Certificate,63,National Coalition of Certification Centers (NC-3),Applied PLC Allen Bradley,0.2818,0.5000,0.1588
Certified Flagger,102,American Traffic Safety Services Association (ATSSA),Flagger,0.1409,1.0000,0.1588
Certified Surgical Assistant (CSA),88,National Board of Surgical Technology and Surgical Assisting,Certified Surgical First Assistant,0.2814,0.4992,0.1584
Microsoft Certified Application Specialist (MCAS),3,Microsoft,Microsoft Certified Professional,0.3775,0.3704,0.1576
Certified Regulatory Compliance Manager (CRCM),13,National Registry of Environmental Professionals,Certified Refrigeration Compliance Manager,0.2805,0.4977,0.1574
Certified in Lean Manufacturing,18,Manufacturing Skills Institute,Manufacturing Specialist,0.2920,0.4767,0.1569
Certified Wireless Security Professional,2,ETA International,Wireless Communications,0.2825,0.4921,0.1567
Chartered Financial Consultant,54,CFA Institute,Chartered Financial Analyst (CFA),0.2796,0.4961,0.1564
Adobe Photoshop Certificate,70,Adobe Systems Incorporated,Adobe Photoshop CC 2015,0.2796,0.4961,0.1563
Lean Six Sigma Certification,145,American Society for Quality (ASQ),Six Sigma Green Belt,0.2796,0.4961,0.1563
Six Sigma Certification,993,American Society for Quality (ASQ),Six Sigma Green Belt,0.2796,0.4961,0.1563
American Registry of Radiologic Technologists (ARRT) Certification,462,American Registry of Radiologic Technologists (ARRT),Mammography Certification,0.7394,0.1874,0.1562
Food Safety Manager Certification,156,National Restaurant Association,ServSafe Food Protection Manager Certification,0.3122,0.4431,0.1559
Planning and Scheduling Professional (PSP),23,Federal Emergency Management Agency (FEMA),Emergency Planning,0.2778,0.4961,0.1553
Adobe Illustrator Certification,20,Adobe Systems Incorporated,Adobe Illustrator CC 2015,0.2785,0.4941,0.1551
Certified Medical Illustrator,2,Association of Medical Illustrators,Certified of Medical Illustrator,0.2784,0.4939,0.1550
Occupational Safety and Health Administration Certification,11436,Occupational Safety & Health Administration,OSHA Confined Space Safety,0.6408,0.2143,0.1548
Hazardous Materials Technician,100,World Safety Organization,WSO - Certified Hazardous Materials Technician I,0.3407,0.4030,0.1548
Residential and Commercial Photovoltaic Systems Certificate,11,National Center for Construction Education and Research (NCCER),Solar Photovoltaic System Installer,0.5636,0.2422,0.1539
Certified First Assistant,91,National Board of Surgical Technology and Surgical Assisting,Certified Surgical First Assistant,0.2771,0.4916,0.1535
Certified Heavy Duty Truck,6,National Institute for Automotive Service Excellence (ASE),ASE Entry-Level Medium/Heavy Truck Brakes,0.4161,0.3268,0.1533
Certified Public Finance Officer (CPFO),5,Federal Emergency Management Agency (FEMA),Public Information Officer Awareness,0.2763,0.4902,0.1527
Certified Public Purchasing Officer (CPPO),4,Federal Emergency Management Agency (FEMA),Public Information Officer Awareness,0.2763,0.4902,0.1527
Registered Communications Distribution Designer (RCDD),257,ETA International,Wireless Communications,0.2720,0.4961,0.1521
Microsoft Certified Technology Specialist (MCTS),231,Microsoft,Microsoft Certified Professional,0.3639,0.3704,0.1520
Construction Health and Safety Technician,96,Occupational Safety & Health Administration,OSHA 30 Construction,0.4451,0.3027,0.1519
Construction Health and Safety Technologist,2,Occupational Safety & Health Administration,OSHA 30 Construction,0.4451,0.3027,0.1519
Mobile Hydraulic Technician,5,International Fluid Power Society,Fluid Power Mobile Hydraulic Mechanic,0.3429,0.3922,0.1516
Mobile Electronics Certified Professional,2182,ETA International,Industrial Electronics,0.2866,0.4691,0.1515
Mobile Electronics Certified Professional (MECP),2179,ETA International,Industrial Electronics,0.2866,0.4691,0.1515
Certified in Risk and Information Systems Control,54,Federal Emergency Management Agency (FEMA),Earthquake Basics Science and Risk Mitigation ,0.5506,0.2423,0.1504
Certified in Health Care Compliance,1,Occupational Safety & Health Administration,OSHA Compliance,0.2688,0.4961,0.1503
Quickbooks Certification,18,Intuit,QuickBooks Certification,0.1937,0.6874,0.1501
Plc Programming,237,National Coalition of Certification Centers (NC-3),Introduction to PLC Programming,0.2731,0.4845,0.1491
Certified Instructor Trainer,6,National Center for Construction Education and Research,Master Trainer,0.2709,0.4883,0.1491
Linux Professional Institute Certification,17,Linux Professional Institute,LPIC-1 Linux Server Professional ,0.3540,0.3735,0.1490
Certified Electrical Worker,9,National Fire Protection Association,Certified Electrical Safety Worker,0.2726,0.4836,0.1486
Data Center Design Consultant,13,Juniper Networks,Juniper Networks Certified Certified Data Center Design Professional,0.3852,0.3417,0.1484
Certified Fiber Installer,2,Electronics Technicians Association (ETA) International,Fiber Optics Installer Certification,0.2813,0.4674,0.1482
Biomedical Electronics Certificate,232,ETA International,Biomedical Imaging Electronics Technician,0.2720,0.4826,0.1480
American Society for Testing and Materials (ASTM),107,National Institute for Certification in Engineering Technologies,Certification in Construction Materials Testing - Asphalt,0.4167,0.3128,0.1469
Certified Fluid Power,91,International Fluid Power Society,Fluid Power Pneumatic Mechanic,0.2709,0.4806,0.1467
Care Provider License,1,Emergency Care & Safety Institute (ECSI),Health Care Provider CPR,0.2708,0.4805,0.1467
Industrial Hydraulic Technician,5,International Fluid Power Society,Fluid Power Industrial Hydraulic Mechanic,0.3375,0.3845,0.1463
Registered Cardiovascular Invasive Specialist,85,Cardiovascular Credentialing International,Registered Vascular Specialist (RVS),0.3492,0.3715,0.1462
Certified Polysomnographic Technologist,6,Board for Registered Polysomnographic Technologists (BRPT),Registered Polysomnographic Technologist (RPSGT),0.2689,0.4771,0.1446
